filename,label,params
transit/transit_0000.csv,transit,"{""period"": 11.8354, ""depth"": 0.011253, ""duration_hours"": 4.43, ""t0"": 8.2536}"
transit/transit_0001.csv,transit,"{""period"": 14.6587, ""depth"": 0.019148, ""duration_hours"": 4.14, ""t0"": 1.878}"
transit/transit_0002.csv,transit,"{""period"": 6.1912, ""depth"": 0.023206, ""duration_hours"": 3.58, ""t0"": 5.0939}"
transit/transit_0003.csv,transit,"{""period"": 4.1813, ""depth"": 0.014087, ""duration_hours"": 1.26, ""t0"": 3.4606}"
transit/transit_0004.csv,transit,"{""period"": 11.6132, ""depth"": 0.009186, ""duration_hours"": 4.88, ""t0"": 10.372}"
transit/transit_0005.csv,transit,"{""period"": 3.7249, ""depth"": 0.011935, ""duration_hours"": 1.18, ""t0"": 0.5747}"
transit/transit_0006.csv,transit,"{""period"": 11.4267, ""depth"": 0.024204, ""duration_hours"": 2.3, ""t0"": 4.2331}"
transit/transit_0007.csv,transit,"{""period"": 3.6526, ""depth"": 0.003683, ""duration_hours"": 2.9, ""t0"": 0.8288}"
transit/transit_0008.csv,transit,"{""period"": 7.1201, ""depth"": 0.020901, ""duration_hours"": 3.8, ""t0"": 2.2241}"
transit/transit_0009.csv,transit,"{""period"": 12.2667, ""depth"": 0.009993, ""duration_hours"": 2.15, ""t0"": 8.372}"
transit/transit_0010.csv,transit,"{""period"": 3.7987, ""depth"": 0.00068, ""duration_hours"": 4.15, ""t0"": 2.5256}"
transit/transit_0011.csv,transit,"{""period"": 11.9302, ""depth"": 0.011743, ""duration_hours"": 3.27, ""t0"": 1.6678}"
transit/transit_0012.csv,transit,"{""period"": 10.3576, ""depth"": 0.012042, ""duration_hours"": 3.26, ""t0"": 7.9236}"
transit/transit_0013.csv,transit,"{""period"": 8.7501, ""depth"": 0.014201, ""duration_hours"": 2.22, ""t0"": 0.2697}"
transit/transit_0014.csv,transit,"{""period"": 4.0042, ""depth"": 0.010509, ""duration_hours"": 4.41, ""t0"": 0.9367}"
transit/transit_0015.csv,transit,"{""period"": 4.9394, ""depth"": 0.007693, ""duration_hours"": 3.65, ""t0"": 2.7514}"
transit/transit_0016.csv,transit,"{""period"": 10.3004, ""depth"": 0.010456, ""duration_hours"": 4.26, ""t0"": 1.7199}"
transit/transit_0017.csv,transit,"{""period"": 2.2607, ""depth"": 0.018198, ""duration_hours"": 2.85, ""t0"": 0.3646}"
transit/transit_0018.csv,transit,"{""period"": 3.1324, ""depth"": 0.01756, ""duration_hours"": 2.78, ""t0"": 1.1935}"
transit/transit_0019.csv,transit,"{""period"": 9.824, ""depth"": 0.009364, ""duration_hours"": 1.35, ""t0"": 1.1593}"
transit/transit_0020.csv,transit,"{""period"": 13.7201, ""depth"": 0.017643, ""duration_hours"": 2.06, ""t0"": 13.2972}"
transit/transit_0021.csv,transit,"{""period"": 11.0365, ""depth"": 0.011509, ""duration_hours"": 2.09, ""t0"": 1.0638}"
transit/transit_0022.csv,transit,"{""period"": 7.3809, ""depth"": 0.005458, ""duration_hours"": 2.22, ""t0"": 4.2751}"
transit/transit_0023.csv,transit,"{""period"": 12.9926, ""depth"": 0.019084, ""duration_hours"": 3.88, ""t0"": 5.614}"
transit/transit_0024.csv,transit,"{""period"": 9.1774, ""depth"": 0.016421, ""duration_hours"": 1.34, ""t0"": 3.816}"
transit/transit_0025.csv,transit,"{""period"": 7.9159, ""depth"": 0.008582, ""duration_hours"": 1.58, ""t0"": 0.8185}"
