time,flux,flux_err
2447.694580903226,0.9987211,0.0011529275
2447.695969905787,0.9986444,0.001152665
2447.697358908581,1.0011103,0.0011531394
2447.698747911143,1.0001287,0.0011534088
2447.7001369139366,1.0026557,0.0011538129
2447.7015259164973,1.0023731,0.0011537647
2447.7029149190594,0.99893767,0.0011528092
2447.7043039218534,1.0003953,0.0011527973
2447.7056929244145,1.0006138,0.0011525045
2447.707081926975,1.0002723,0.001153434
2447.708470929536,1.0020511,0.001154055
2447.709859932098,1.0014453,0.0011532695
2447.711248934659,1.0010617,0.0011532303
2447.7126379372203,1.0015292,0.0011537856
2447.7140269397814,0.999239,0.001152894
2447.7168049449047,1.00125,0.0011536005
2447.7181939472325,1.0013067,0.0011533505
2447.719582949793,1.0009538,0.0011527655
2447.7209719523544,0.99965715,0.0011530357
2447.7223609546827,0.99993086,0.0011524026
2447.723749957244,1.0010905,0.0011522179
2447.725138959572,1.0017081,0.0011533401
2447.7265279621333,1.0011926,0.0011533783
2447.7279169644617,1.0016611,0.0011539282
2447.7293059670237,0.9995421,0.0011521244
2447.7306949693516,1.0028303,0.0011538208
2447.73208397168,1.0014666,0.0011534906
2447.7334729740087,0.9998815,0.001151853
2447.734861976338,1.0002604,0.0011528779
2447.736250978898,0.9993532,0.0011524314
2447.7376399812256,0.99842143,0.0011519702
2447.739028983554,1.0013496,0.001152671
2447.740417985883,1.0012194,0.0011524246
2447.7418069879786,1.0024617,0.0011530042
2447.743195990307,1.00168,0.0011525201
2447.7445849926353,1.0003326,0.0011526998
2447.7459739949636,1.0012856,0.0011530758
2447.747362997293,1.0006008,0.0011530501
2447.748751999388,1.001511,0.0011530411
2447.7501410017157,1.0002457,0.0011525742
2447.7515300038112,1.0019494,0.001153035
2447.7529190061396,1.0000465,0.0011525956
2447.754308008235,1.0012599,0.0011531141
2447.7556970105634,1.0000156,0.0011525488
2447.757086012659,1.0015273,0.0011535485
2447.758475014755,1.001889,0.0011536039
2447.7598640170836,1.0009111,0.001152689
2447.761253019179,0.9993183,0.0011523454
2447.7626420212746,0.99974245,0.001152717
