time,flux
0.0,0.9835910248158184
0.013706853426713355,0.9858213940999616
0.02741370685342671,0.9837521772283425
0.041120560280140064,0.9827441738830535
0.05482741370685342,0.9832498842617048
0.06853426713356678,0.985459472784647
0.08224112056028013,0.9871190210144296
0.09594797398699349,0.9864070613394271
0.10965482741370684,0.9850433941657862
0.1233616808404202,0.9851013285490151
0.13706853426713356,0.9888939757817304
0.1507753876938469,0.9859986008974938
0.16448224112056026,0.986257971961229
0.1781890945472736,0.9864151968509597
0.19189594797398699,0.9867404605481617
0.20560280140070034,0.9880004284169299
0.21930965482741369,0.9853889633045992
0.23301650825412704,0.9871415923379634
0.2467233616808404,0.9874315680244573
0.26043021510755376,0.9885929316113186
0.2741370685342671,0.9879646527561645
0.28784392196098046,0.9861610467920126
0.3015507753876938,0.9897644079904684
0.31525762881440716,0.9874983293285596
0.3289644822411205,0.990279459703226
0.34267133566783387,0.9860771324256696
0.3563781890945472,0.9894095745122894
0.3700850425212606,0.9883414764243725
0.38379189594797397,0.9884670702311906
0.3974987493746873,0.988441607894306
0.41120560280140067,0.9888387821448925
0.424912456228114,0.9919942335878212
0.43861930965482737,0.9907132402416243
0.4523261630815407,0.9894690747305468
0.46603301650825407,0.9903422147994165
0.4797398699349674,0.9899102394524287
0.4934467233616808,0.9917257591762425
0.5071535767883941,0.9863908707003489
0.5208604302151075,0.993605898530075
0.5345672836418208,0.9928431726426278
0.5482741370685342,0.9944761622545294
0.5619809904952475,0.9942224326827993
0.5756878439219609,0.9925937423977037
0.5893946973486743,0.9904403972477616
0.6031015507753876,0.9930700002702283
0.616808404202101,0.9935658370737271
0.6305152576288143,0.9931378037972182
0.6442221110555277,0.9925847537266291
0.657928964482241,0.9928140560990961
0.6716358179089544,0.9919276224270425
0.6853426713356677,0.9943307137735315
0.6990495247623811,0.9907542472710422
0.7127563781890944,0.9972139688054841
0.7264632316158078,0.9955403772038713
0.7401700850425212,0.9945555630414844
0.7538769384692345,0.9944799153702873
0.7675837918959479,0.9964111774750607
0.7812906453226612,0.9970341272578557
0.7949974987493746,0.9950543722200176
0.8087043521760879,0.9974232573114351
0.8224112056028013,0.9965014592757532
0.8361180590295146,0.9986742152798963
0.849824912456228,0.999745227600547
0.8635317658829413,0.9960063760644073
0.8772386193096547,0.9974882171736896
0.8909454727363681,0.9985206760214513
0.9046523261630814,0.9985520883649202
0.9183591795897948,1.0018873034226303
0.9320660330165081,0.9958645227975691
0.9457728864432215,0.9998879317221643
0.9594797398699348,0.9995668171313796
0.9731865932966483,1.0004220130198922
